frame_index,total_latency_ms,detection_latency_ms,preprocessing_latency_ms,reid_extraction_latency_ms,association_latency_ms,detections,tracks
2,359.37748399919656,320.65199600037886,3.157810000629979,35.22519000034663,0.2581170010671485,12,10
4,105.69241099983628,69.96422599877405,2.908641001340584,30.992677000540425,1.7475189997639973,12,10
6,98.09204800149018,64.7852670008433,2.3077420009940397,28.73862400156213,2.1812320010212716,12,10
8,123.53001900009986,83.47420199970657,2.9864630014344584,33.04909200051043,3.931667999495403,16,9
10,103.83120000005874,66.7870840006799,2.9318420001800405,29.72381600011431,4.2993299994122935,13,8
12,109.59704500055523,71.94428799994057,3.0360620003193617,29.50868200059631,5.038661998696625,14,8
14,107.92260200105375,69.7346489996562,2.9776329993183026,27.954663999480545,7.181760998719255,14,9
16,97.30036499968264,60.344646000885405,2.6676939996832516,27.864810001119622,6.351526000798913,12,10
18,105.46558399983041,64.62856599864608,2.7403259991842788,28.869752000900917,9.163818998786155,13,10
20,98.7469579995377,57.86121299934166,2.7821240000776015,29.07056699950772,8.95672800106695,11,9
22,109.66196499975922,65.34049800029607,2.6720109999587294,29.26721199946769,12.31107800049358,13,10
24,105.68987099941296,61.04577600126504,2.7469019987620413,29.188841999712167,12.62732900067931,12,7
26,132.6697950007656,79.1521040009684,3.5993530000268947,31.991461999496096,17.84407699960866,16,6
28,119.0294090010866,69.28155700006755,2.644304000568809,29.85269800046808,17.177924999487004,14,8
30,132.31111799905193,77.90878499872633,4.1866749998007435,29.938416000732104,20.204017999276402,15,8
32,110.18394699931378,62.56425100036722,2.547748999859323,27.902519999770448,17.10191200072586,12,10
34,117.56009000055201,64.9389770005655,2.6171749996137805,29.672448999917833,20.26480400127184,13,10
36,119.61999900086084,66.34593099988706,2.7363380013412097,29.09539700158348,21.374476000346476,13,9
38,133.38868100072432,73.39220900030341,3.224275000320631,29.482265999831725,27.211622000322677,15,7
40,118.90042500090203,64.72426000073028,2.4961859999166336,27.200213000469375,24.411652000708273,13,8
42,121.81365300057223,63.5428720015625,2.517065000574803,29.57379199870047,26.096244999280316,12,7
44,132.36633999986225,69.40440799917269,2.64969599993492,29.591028000140795,30.65674600111379,14,8
46,145.8766600007948,77.4311029999808,3.247900000133086,30.64502399865887,34.4808310001099,16,8
48,159.1543089998595,82.39301100002194,3.8421429999289103,31.719608999992488,41.12467300001299,17,6
50,119.62089299959189,60.64813000011782,2.5920690004568314,28.509996000138926,27.792028999101603,12,8
52,121.42267199851631,61.00330200024473,2.6680349983507767,28.765135999492486,28.9172190005047,12,8
54,130.96447099997022,66.92490400018869,2.4699960013094824,28.47845500036783,33.01459800059092,13,8
56,127.50584200148296,60.9407360007026,2.2868240012030583,28.91159799946763,35.29872999934014,12,8
58,138.0582769998,66.25069599976996,2.7939699994021794,28.36267000020598,40.58180900028674,13,8
60,140.17018300000927,69.34651099982148,2.464347000568523,29.426099001284456,38.870205000421265,14,9
62,142.9273360008665,69.62154200118675,2.749588998995023,29.465194998920197,41.02242299995851,14,10
64,156.41716299978725,76.5537770002993,2.7295589989080327,30.184528999598115,46.8862360012281,16,8
66,158.5654059999797,76.55934200010961,2.5587870004528668,30.60474900121335,48.76567900100781,16,9
68,158.265695999944,74.65004999903613,2.9751210004178574,31.334090999735054,49.21578699941165,15,10
70,175.679444000707,81.30912100023124,2.954945000965381,32.15728699979081,59.1638799996872,17,11
72,167.70318199996836,81.74892799979716,3.071977000217885,31.203851000100258,51.58261399992625,16,11
74,186.11225899985584,91.97635500095203,3.194829998392379,34.03464599978179,56.83479599974817,18,11
76,172.16086899861693,84.58303500083275,2.635106000525411,32.0412179989944,52.81464800100366,17,9
78,169.36691599948972,81.01146400076686,3.073207999477745,31.93646599902422,53.27110899997933,17,11
80,169.81990200110886,82.73804199961887,3.0336069994518766,32.86063999985345,51.10894099925645,17,11
82,163.17935700135422,78.88661900142324,2.6943399989249883,30.340530000103172,51.16478899981303,15,12
84,171.3970929995412,81.86982500046724,2.7502590000949567,31.91659199910646,54.78188699999009,17,11
86,187.04006900043169,90.55353200164973,3.2012560004659463,36.77059799883864,56.4297050004825,19,9
88,152.77322300062224,74.45027100038715,2.509599999029888,30.154235999361845,45.584276000226964,15,9
90,159.29833600057464,78.3838259994809,2.6678559988795314,31.64179000123113,46.53092800072045,16,9
92,155.75154200087127,74.15973100069095,2.451259999361355,32.9640260006272,46.103187998596695,15,8
94,155.1422240008833,77.94179700067616,2.59770800039405,31.027122000523377,43.50419000002148,16,8
96,155.14991100098996,78.02315099979751,2.9988859987497563,30.457576000117115,43.60187299971585,16,10
98,170.74615599995013,86.15610899869353,2.9135229997336864,32.43793900037417,49.15007700037677,18,9
100,168.14290299953427,85.70107499872393,2.989167000123416,33.4650849999889,45.91844499918807,18,10
102,173.14618499949574,87.04447299896856,3.288109999630251,34.303536000152235,48.431780000100844,18,11
104,175.28929400032212,88.05803900031606,3.3630819998506922,35.08222200071032,48.70024599949829,17,10
106,162.96211400003813,83.53306999924826,2.9774920003546868,31.39396400001715,44.979069998589694,16,9
108,156.26178100137622,79.46459099912317,2.8650750009546755,31.35338900028728,42.495612000493566,16,9
110,149.15809400008584,76.43553700108896,2.883417000703048,30.229595000491827,39.535899999464164,16,5
112,153.828409000198,77.46950100045069,2.9545420002250466,30.3864950001298,42.94304699942586,16,7
