frame_index,total_latency_ms,detection_latency_ms,preprocessing_latency_ms,dino_reid_latency_ms,osnet_reid_latency_ms,association_latency_ms,embedding_buffer_update_latency_ms,detections,tracks
2,141.49676899978658,72.60608700016746,3.115239000180736,38.20538299987675,27.202412002225174,0.25218900191248395,0.0,12,10
4,131.09906799945747,61.18105700079468,2.7583590017457027,38.545350998901995,26.92097600083798,1.5944189981382806,0.0,12,10
6,129.4474429996626,60.35885299934307,2.700085999094881,37.77283799718134,26.257318000716623,2.2531030008394737,0.0,12,10
8,162.02267500193557,76.10356800068985,3.0578789992432576,49.26367099687923,30.23119399949792,3.26357100129826,0.0,16,9
10,141.19090899839648,65.11126400073408,3.2296209974447265,42.269777000910835,26.653379001800204,3.8195560009626206,0.0,13,8
12,150.28203499969095,69.48059400019702,3.60658399949898,45.29093800010742,27.037420000851853,4.747574999782955,0.0,14,8
14,150.07048199913697,68.61438900159555,3.006683000421617,44.36488000283134,27.854081999976188,6.133333001343999,0.0,14,9
16,135.85358199998154,60.19334699885803,2.5184969999827445,37.89723199952277,27.962560001469683,7.1871539985295385,0.0,12,10
18,140.44740499957697,63.80686799820978,2.3850069992477074,39.12044900062028,26.543879001110326,8.504081000864971,0.0,13,10
20,127.46905600215541,55.80111600283999,2.2427859985327814,34.74834599910537,25.751181001396617,8.845808999467408,0.0,11,9
22,142.89446499969927,64.49505300042802,2.416735002043424,38.648043999273796,26.26632900137338,10.982670999510447,0.0,13,10
24,138.2250690003275,61.827215999073815,2.3201389994937927,36.05566899932455,26.124613999854773,11.800644999311771,0.0,12,7
26,171.5218469980755,76.81558100011898,3.20431599902804,44.978320998779964,28.749150998919504,17.68550799897639,0.0,16,6
28,154.04888299963204,68.47427300090203,2.8937789975316264,39.29358899767976,27.14066000044113,16.151637999428203,0.0,14,8
30,162.373758998001,72.93393400323112,3.2084880003822036,40.28447100063204,27.81674699872383,18.014516001130687,0.0,15,8
32,137.05517199923634,59.61649600067176,2.254772000014782,32.96821000185446,25.61224199962453,16.513438000401948,0.0,12,10
34,148.03917600147543,64.08318300236715,2.2902179989614524,36.15970600003493,26.096912999491906,19.32504000069457,0.0,13,10
36,151.1371680026059,63.74290299936547,2.5366459994984325,36.41746699940995,26.371730000391835,21.982622998621082,0.0,13,9
38,174.62665800121613,73.31636800154229,2.9769969987683,45.30538700055331,27.12896099910722,25.807017998886295,0.0,15,7
