Source,MOTA,IDF1,ID Swaps,FPS,Processed Frames,Association Alpha
test/SNMOT-116,11.108202443280978,12.663026994237187,433,11.698487072266945,120,0.6
test/SNMOT-117,4.983098898702432,2.488218661639962,854,9.41567402357589,120,0.6
test/SNMOT-118,0.10074182617455518,2.1609597203463893,1059,7.290460664366292,120,0.6
test/SNMOT-119,5.805922977876621,4.380039224231859,125,15.859464032308404,120,0.6
test/SNMOT-120,2.9157759726378796,5.553878659824932,742,9.180783363244482,120,0.6
test/SNMOT-121,7.768624324563733,8.501463114122902,684,9.48267805402924,120,0.6
test/SNMOT-122,10.79062580479011,13.976435935198822,562,10.477680484862953,120,0.6
test/SNMOT-123,2.2274231296909086,2.5303929884082557,1205,7.086594721925164,120,0.6
test/SNMOT-124,9.771181199752633,17.493016759776538,446,10.676050369262656,120,0.6
test/SNMOT-125,14.091247474210356,16.82109764789736,436,10.207924111412687,120,0.6
